Movie Name,Date,Picked By,Phill Score,Jim Score,Jon Score ,Avg Rating,Release Year,1333,@,TMDB_ID,Overview,Genres,Release Date,Vote Average,Vote Count,TMDb Link
Bad Times at the El Royale ,2/7/2023,phill,5.0,8.0,6.0,6,2018.0,,,446021,"Lake Tahoe, 1969. Seven strangers, each one with a secret to bury, meet at El Royale, a decadent motel with a dark past. In the course of a fateful night, everyone will have one last shot at redemption.","Thriller, Drama, Mystery, Crime",2018-10-04,6.836,3460,https://www.themoviedb.org/movie/446021
If Looks could Kill,2/14/2023,jim,6.0,7.0,6.0,6,1991.0,,,435478,"Faith is proud to finally be a cop in her hometown where she joins old flame Paul on the force. She is soon troubled and a bit disappointed when he becomes romantically involved with Jessica, a dangerous beauty with a criminal past. So when Jessica starts an affair with an impressionable young man, Faith must build a case against her before Jessica puts her deadly plans in place.","Thriller, Drama, TV Movie",2016-12-31,5.2,9,https://www.themoviedb.org/movie/435478
Donnys Bar Mitzvah,2/21/2023,jon,3.0,8.0,6.0,6,2021.0,,,797884,Donny Drucker's 1998 Bar Mitzvah VHS Tape.,Comedy,2021-03-23,6.3,3,https://www.themoviedb.org/movie/797884
Batman and Superman Battle of the Super Sons,2/28/2023,phill,7.0,7.0,6.0,7,2022.0,,,886396,"After discovering he has powers, 11-year-old Jonathan Kent and assassin-turned-Boy-Wonder Damian Wayne must join forces to rescue their fathers (Superman & Batman) and save the planet from the malevolent alien force known as Starro.","Animation, Action, Science Fiction",2022-10-17,7.668,274,https://www.themoviedb.org/movie/886396
Spies like us,3/7/2023,jim,8.0,9.0,8.0,8,1985.0,,,9080,"Two bumbling government employees think they are U.S. spies, only to discover that they are actually decoys for nuclear war.","Comedy, Adventure",1985-12-06,6.2,602,https://www.themoviedb.org/movie/9080
The Whale,3/14/2023,jon,8.0,7.0,8.0,8,2022.0,,,785084,A reclusive English teacher suffering from severe obesity attempts to reconnect with his estranged teenage daughter for one last chance at redemption.,Drama,2022-12-09,7.864,3623,https://www.themoviedb.org/movie/785084
Hot Tub Time Machine,3/21/2023,phill,6.0,8.0,8.0,7,2010.0,,,23048,"Four pals are stuck in a rut in adulthood: Adam has just been dumped, Lou is a hopeless party animal, Craig is a henpecked husband, and Jacob does nothing but play video games in his basement. But they get a chance to brighten their future by changing their past after a night of heavy drinking in a ski-resort hot tub results in their waking up in 1986.","Science Fiction, Comedy, Adventure",2010-03-26,6.038,2385,https://www.themoviedb.org/movie/23048
Barbarian,3/28/2023,jim,7.0,9.0,6.0,7,2022.0,,,913290,"In town for a job interview, a young woman arrives at her Airbnb late at night only to find that it has been mistakenly double-booked and a strange man is already staying there. Against her better judgement, she decides to stay the night anyway.","Horror, Mystery, Thriller",2022-09-08,6.842,2223,https://www.themoviedb.org/movie/913290
Wrong Cops,4/4/2023,jon,6.0,5.0,6.0,6,2013.0,,,158990,A group of bad cops look to dispose of a body that one of them accidentally shot.,"Crime, Comedy",2013-12-18,6.088,290,https://www.themoviedb.org/movie/158990
Tetris,4/11/2023,phill,8.0,8.0,9.0,8,2023.0,,,726759,"In 1988, American video game salesman Henk Rogers discovers the video game Tetris. When he sets out to bring the game to the world, he enters a dangerous web of lies and corruption behind the Iron Curtain.","Thriller, History, Drama",2023-03-15,7.737,1188,https://www.themoviedb.org/movie/726759
